timestamp,connect,service,status
1431585008,1,3,200
1431585015,1,2,200
1431585026,1,2,200
1431585029,1,5,200
1431585034,1,2,200
1431585037,1,2,200
1431585045,1,3,200
1431585048,1,2,200
1431585053,1,2,200
1431585059,1,6,200
1431585062,3,3,200
1431585070,2,2,200
1431585081,2,2,200
1431585091,2,3,200
1431585092,2,6,200
1431585093,1,2,200
1431585095,10,2,200
1431585103,2,3,200
1431585114,1,2,200
1431585119,1,6,200
1431585121,1,3,200
1431585125,1,3,200
1431585133,1,2,200
1431585136,1,2,200
1431585139,2,4,200
1431585147,1,3,200
1431585148,2,2,200
1431585158,1,2,200
1431585160,6,3,200
1431585163,1,3,200
1431585166,1,2,200
1431585169,1,3,200
1431585175,3,2,200
1431585181,1,3,200
1431585192,1,2,200
1431585193,1,3,200
1431585196,2,7,200
1431585198,1,3,200
1431585201,1,7,200
1431585203,1,2,200
1431585205,2,3,200
1431585208,1,2,200
1431585214,3,2,200
1431585215,1,3,200
1431585225,2,4,200
1431585225,1,5,200
1431585236,1,3,200
1431585239,1,6,200
1431585239,1,2,200
1431585240,1,2,200
1431585247,1,26,200
1431585248,1,4,200
1431585257,1,4,200
1431585257,1,2,200
1431585258,3,3,200
1431585265,1,2,200
1431585269,1,3,200
1431585274,2,2,200
1431585277,0,2,200
1431585280,2,2,200
1431585285,1,2,200
1431585291,1,2,200
1431585302,1,2,200
1431585302,1,7,200
1431585305,3,2,200
1431585309,0,1,200
1431585309,0,1,200
1431585313,0,1,200
1431585313,1,2,200
1431585314,1,2,200
1431585324,0,2,200
1431585328,1,2,200
1431585335,1,3,200
1431585338,1,3,200
1431585338,1,4,200
1431585346,0,1,200
1431585357,1,3,200
1431585357,0,1,200
1431585357,2,5,200
1431585366,1,2,200
1431585366,1,2,200
1431585368,1,5,200
1431585375,1,10,200
1431585379,1,3,200
1431585386,0,2,200
1431585390,1,5,200
1431585401,3,2,200
1431585405,1,2,200
1431585412,0,1,200
1431585421,0,1,200
1431585423,0,1,200
1431585428,5,2,200
1431585432,1,2,200
1431585433,0,7,200
1431585434,0,2,200
1431585444,1,7,200
1431585445,0,1,200
1431585453,1,2,200
1431585456,0,7,200
1431585457,1,7,200
1431585466,1,2,200
1431585468,0,1,200
1431585470,3,2,200
1431585472,0,2,200
1431585476,0,1,200
1431585479,1,7,200
1431585488,0,1,200
1431585489,1,13,200
1431585490,0,5,200
1431585490,1,41,406
1431585490,0,112,406
1431585490,2,64,200
1431585498,0,3,200
1431585499,1,3,200
1431585501,0,2,200
1431585506,1,18,200
1431585512,0,2,200
1431585514,1,2,200
1431585521,0,3,200
1431585523,1,2,200
1431585534,4,1,200
1431585545,0,1,200
1431585552,1,2,200
1431585552,0,7,200
1431585554,8,14,200
1431585556,0,1,200
1431585561,1,2,200
1431585567,0,1,200
1431585578,1,2,200
1431585589,0,1,200
1431585600,0,2,200
1431585602,6,5,200
